,close,ret
2015/8/6,2467.52,-0.79
2015/8/5,2487.06,-1.88
2015/8/4,2534.71,2.22
2015/8/3,2479.72,0.75
2015/7/31,2461.24,-0.25
2015/7/30,2467.37,-2.53
2015/7/29,2531.44,1.84
2015/7/28,2485.67,-0.31
2015/7/27,2493.29,-9.04
2015/7/24,2741.04,-1.78
2015/7/23,2790.76,1.86
2015/7/22,2739.79,-1.19
2015/7/21,2772.77,-0.39
2015/7/20,2783.76,-0.83
2015/7/17,2807.06,2.34
2015/7/16,2742.85,-0.55
2015/7/15,2757.95,-0.19
2015/7/14,2763.07,-3.69
2015/7/13,2869.05,-1.01
2015/7/10,2898.41,4.22
2015/7/9,2781.08,6.6
2015/7/8,2608.98,-7.23
2015/7/7,2812.45,2.27
2015/7/6,2750,6.5
2015/7/3,2582.27,-4.86
2015/7/2,2714.25,-0.83
2015/7/1,2736.85,-4.64
2015/6/30,2870.03,7.16
2015/6/29,2678.37,-2.13
2015/6/26,2736.7,-7.04
2015/6/25,2943.99,-3.33
2015/6/24,3045.24,1.4
2015/6/23,3003.16,3.45
2015/6/19,2903.06,-5.39
2015/6/18,3068.49,-4.46
2015/6/17,3211.71,1.01
2015/6/16,3179.65,-2.54
2015/6/15,3262.48,-2.62
2015/6/12,3350.25,0.09
2015/6/11,3347.12,-0.69
2015/6/10,3370.38,-1.28
2015/6/9,3414,-1.29
2015/6/8,3458.71,4.68
2015/6/5,3303.99,0.15
2015/6/4,3299.03,1.87
2015/6/3,3238.43,-0.61
2015/6/2,3258.31,0.43
2015/6/1,3244.32,4.27
2015/5/29,3111.33,-0.43
2015/5/28,3124.62,-6.58
2015/5/27,3344.74,-1.24
2015/5/26,3386.59,1.09
2015/5/25,3349.95,3.11
2015/5/22,3248.86,3.11
2015/5/21,3150.9,0.9
2015/5/20,3122.85,0.22
2015/5/19,3116.09,3.93
2015/5/18,2998.39,-2.03
2015/5/15,3060.41,-2.18
2015/5/14,3128.57,-0.41
2015/5/13,3141.3,-1.47
2015/5/12,3188.31,0.61
2015/5/11,3169.13,1.89
2015/5/8,3110.46,0.5
2015/5/7,3094.88,-1.41
2015/5/6,3139.02,-0.31
2015/5/5,3148.81,-3.77
2015/5/4,3272.01,0.66
2015/4/30,3250.49,-1
2015/4/29,3283.28,0.03
2015/4/28,3282.33,-0.79
2015/4/27,3308.45,2.62
2015/4/24,3223.96,-1.51
2015/4/23,3273.4,-0.78
2015/4/22,3299.22,2.64
2015/4/21,3214.36,1.58
2015/4/20,3164.46,-2.19
2015/4/17,3235.33,1.63
2015/4/16,3183.3,4.26
2015/4/15,3053.3,0.03
2015/4/14,3052.41,0.37
2015/4/13,3041.13,1.83
2015/4/10,2986.61,1.87
2015/4/9,2931.77,-0.69
2015/4/8,2952.08,2.17
2015/4/7,2889.45,2.57
2015/4/3,2817.18,1.28
2015/4/2,2781.64,-0.64
2015/4/1,2799.45,1.63
2015/3/31,2754.66,-1.07
2015/3/30,2784.46,3.54
2015/3/27,2689.24,0.05
2015/3/26,2687.76,1.46
2015/3/25,2649.16,-1.29
2015/3/24,2683.65,-1.36
2015/3/23,2720.67,1.49
2015/3/20,2680.68,1.92
2015/3/19,2630.24,-0.73
2015/3/18,2649.64,2.57
2015/3/17,2583.2,1.27
2015/3/16,2550.86,2.23
2015/3/13,2495.28,0.41
2015/3/12,2485.11,3.18
2015/3/11,2408.5,0.55
2015/3/10,2395.43,-1.42
2015/3/9,2429.87,2.46
2015/3/6,2371.62,0.2
2015/3/5,2366.9,-1.3
2015/3/4,2397.99,0.05
2015/3/3,2396.81,-3.32
2015/3/2,2479.24,0.19
2015/2/27,2474.6,-0.14
2015/2/26,2478.06,2.93
2015/2/25,2407.46,-1.55
2015/2/17,2445.26,0.58
2015/2/16,2431.21,0.15
2015/2/13,2427.47,0.46
2015/2/12,2416.45,0.05
2015/2/11,2415.13,0.48
2015/2/10,2403.55,1.55
2015/2/9,2366.77,1.79
2015/2/6,2325.24,-1.01
2015/2/5,2348.92,-0.99
2015/2/4,2372.46,-1.38
2015/2/3,2405.76,3.14
2015/2/2,2332.53,-3.03
2015/1/30,2405.38,-1.5
2015/1/29,2442.04,-1.78
2015/1/28,2486.29,-1.42
2015/1/27,2522.1,-1.57
2015/1/26,2562.36,-0.08
2015/1/23,2564.51,0.79
2015/1/22,2544.31,0.08
2015/1/21,2542.32,5.77
2015/1/20,2403.72,-0.27
2015/1/19,2410.2,-9.15
2015/1/16,2653.03,0.77
2015/1/15,2632.89,3.89
2015/1/14,2534.23,0.25
2015/1/13,2527.83,-0.63
2015/1/12,2543.85,-0.98
2015/1/9,2569.02,0.43
2015/1/8,2558.11,-2.93
2015/1/7,2635.23,0.22
2015/1/6,2629.4,-0.76
2015/1/5,2649.64,2.64
2014/12/31,2581.57,2.3
2014/12/30,2523.63,1.69
2014/12/29,2481.66,0.68
2014/12/26,2464.82,4.46
2014/12/25,2359.66,3.91
2014/12/24,2270.88,-4.38
2014/12/23,2374.95,-2.13
2014/12/22,2426.68,1.52
2014/12/19,2390.28,1.11
2014/12/18,2364.04,-0.84
2014/12/17,2383.95,3.68
2014/12/16,2299.28,4.44
2014/12/15,2201.54,0.38
2014/12/12,2193.29,-0.01
2014/12/11,2193.54,-2.72
2014/12/10,2254.82,3.3
2014/12/9,2182.69,-5.05
2014/12/8,2298.85,4.48
2014/12/5,2200.25,1.83
2014/12/4,2160.66,6.04
2014/12/3,2037.59,0.79
2014/12/2,2021.54,5.27
2014/12/1,1920.38,0.31
2014/11/28,1914.44,3.32
2014/11/27,1853,1.79
2014/11/26,1820.49,2.41
2014/11/25,1777.67,1.11
2014/11/24,1758.1,2.53
2014/11/21,1714.71,2.27
2014/11/20,1676.6,0.3
2014/11/19,1671.65,-0.46
2014/11/18,1679.42,-1.68
2014/11/17,1708.1,-1.2
2014/11/14,1728.81,0.14
2014/11/13,1726.34,-0.27
2014/11/12,1731.02,1.18
2014/11/11,1710.88,1.29
2014/11/10,1689.02,2.97
2014/11/7,1640.32,0.27
2014/11/6,1635.96,-0.1
2014/11/5,1637.63,-0.49
2014/11/4,1645.62,-0.33
2014/11/3,1651.05,-0.38
2014/10/31,1657.29,2.36
2014/10/30,1619.1,0.66
2014/10/29,1608.4,1.43
2014/10/28,1585.74,1.66
2014/10/27,1559.91,-1.48
2014/10/24,1583.42,-0.2
2014/10/23,1586.56,-0.66
2014/10/22,1597.13,-0.23
2014/10/21,1600.84,-0.72
2014/10/20,1612.4,0.24
2014/10/17,1608.52,-0.01
2014/10/16,1608.74,-0.25
2014/10/15,1612.77,0.78
2014/10/14,1600.3,-0.35
2014/10/13,1605.99,-0.97
2014/10/10,1621.71,-0.75
2014/10/9,1634.04,0.03
2014/10/8,1633.57,0.86
2014/9/30,1619.7,-0.13
2014/9/29,1621.82,0.35
2014/9/26,1616.09,-0.15
2014/9/25,1618.52,-0.44
2014/9/24,1625.73,1.89
2014/9/23,1595.64,0.74
2014/9/22,1583.89,-2.2
2014/9/19,1619.58,0.6
2014/9/18,1609.87,0.31
2014/9/17,1604.92,0.25
2014/9/16,1600.92,-1.43
2014/9/15,1624.07,-0.38
2014/9/12,1630.2,0.46
2014/9/11,1622.82,-0.44
2014/9/10,1629.99,-0.92
2014/9/9,1645.11,-0.67
2014/9/5,1656.24,1.16
2014/9/4,1637.29,0.82
2014/9/3,1624.03,1.03
2014/9/2,1607.5,1.35
2014/9/1,1586.02,0.3
2014/8/29,1581.28,1.11
2014/8/28,1563.89,-0.57
2014/8/27,1572.79,-0.04
2014/8/26,1573.39,-0.26
2014/8/25,1577.43,-1.05
2014/8/22,1594.18,0.45
2014/8/21,1587.03,-0.83
2014/8/20,1600.34,-0.54
2014/8/19,1609.09,-0.25
2014/8/18,1613.13,0.07
2014/8/15,1612,0.95
2014/8/14,1596.84,-0.83
2014/8/13,1610.14,0.14
2014/8/12,1607.91,-0.7
2014/8/11,1619.25,1.48
2014/8/8,1595.66,0.14
2014/8/7,1593.42,-1.58
2014/8/6,1619.01,-0.82
2014/8/5,1632.41,-0.74
2014/8/4,1644.63,2.28
2014/8/1,1607.97,-0.86
2014/7/31,1621.85,1.28
2014/7/30,1601.38,-0.65
2014/7/29,1611.85,0.15
2014/7/28,1609.48,3.37
